Model,MSO4104
Firmware Version,2.48

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1e-06,,,
Sample Interval,1e-09,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,500,500,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,500,100,1,2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.5470e-06,810,168,-0.66,2.84
-4.5460e-06,830,176,-0.62,3
-4.5450e-06,790,168,-0.58,2.92
-4.5440e-06,810,172,-0.58,3
-4.5430e-06,810,172,-0.58,2.84
-4.5420e-06,810,168,-0.58,2.92
-4.5410e-06,810,172,-0.54,2.92
-4.5400e-06,790,168,-0.54,3
-4.5390e-06,830,164,-0.54,2.92
-4.5380e-06,810,172,-0.5,3
-4.5370e-06,810,180,-0.58,2.92
-4.5360e-06,830,164,-0.46,3
-4.5350e-06,810,164,-0.54,2.92
-4.5340e-06,810,164,-0.5,3
-4.5330e-06,830,176,-0.5,2.92
-4.5320e-06,850,180,-0.5,3
-4.5310e-06,810,172,-0.42,2.92
-4.5300e-06,810,172,-0.46,3
-4.5290e-06,790,172,-0.46,3
-4.5280e-06,830,176,-0.46,2.92
-4.5270e-06,830,176,-0.46,2.92
-4.5260e-06,810,176,-0.42,2.92
-4.5250e-06,810,172,-0.46,2.92
-4.5240e-06,790,176,-0.42,3.08
-4.5230e-06,790,176,-0.46,2.92
-4.5220e-06,830,164,-0.42,2.92
-4.5210e-06,810,180,-0.5,3
-4.5200e-06,830,176,-0.42,2.92
-4.5190e-06,790,172,-0.5,3
-4.5180e-06,810,172,-0.5,3
-4.5170e-06,810,172,-0.5,2.92
-4.5160e-06,810,180,-0.54,3.08
-4.5150e-06,810,172,-0.58,3.08
-4.5140e-06,830,176,-0.54,3.08
-4.5130e-06,850,172,-0.58,3
-4.5120e-06,790,172,-0.58,3.08
-4.5110e-06,810,168,-0.58,3
-4.5100e-06,790,176,-0.5,3
-4.5090e-06,850,172,-0.66,2.92
-4.5080e-06,830,168,-0.5,3.08
-4.5070e-06,790,172,-0.54,2.84
-4.5060e-06,830,176,-0.58,2.92
-4.5050e-06,790,172,-0.62,3.08
-4.5040e-06,830,176,-0.5,3.08
-4.5030e-06,810,176,-0.58,3.08
-4.5020e-06,850,172,-0.62,3
-4.5010e-06,830,172,-0.5,3
-4.5000e-06,810,176,-0.5,3
-4.4990e-06,810,168,-0.5,3.08
-4.4980e-06,770,172,-0.46,3.08
-4.4970e-06,810,172,-0.46,3.16
-4.4960e-06,810,164,-0.46,3.08
-4.4950e-06,810,168,-0.46,3
-4.4940e-06,810,168,-0.46,3.08
